dataset in_number out_number out_file
Stereo_SD_d_all 2 1 Stereo_SD_d_all_1
Stereo_SD_d_all 3 2 Stereo_SD_d_all_2
Stereo_SD_d_all 4 3 Stereo_SD_d_all_3
Stereo_SD_d_all 5 4 Stereo_SD_d_all_4
Stereo_SD_d_all 6 5 Stereo_SD_d_all_5
Stereo_SD_d_all 7 6 Stereo_SD_d_all_6
Stereo_SD_d_all 8 7 Stereo_SD_d_all_7
Stereo_SD_d_all 9 8 Stereo_SD_d_all_8
Stereo_SD_d_all 10 9 Stereo_SD_d_all_9
Stereo_SD_d_all 11 10 Stereo_SD_d_all_10
Stereo_SD_d_all 12 11 Stereo_SD_d_all_11
Stereo_SD_d_all 13 12 Stereo_SD_d_all_12
Stereo_SD_d_all 14 13 Stereo_SD_d_all_13
Stereo_SD_d_all 15 14 Stereo_SD_d_all_14
Stereo_SD_d_all 16 15 Stereo_SD_d_all_15
Stereo_SD_d_all 17 16 Stereo_SD_d_all_16
Stereo_SD_d_all 18 17 Stereo_SD_d_all_17
Stereo_SD_d_all 19 18 Stereo_SD_d_all_18
Stereo_SD_d_all 20 19 Stereo_SD_d_all_19
Stereo_SD_d_all 21 20 Stereo_SD_d_all_20
Stereo_SD_d_all 22 21 Stereo_SD_d_all_21
Stereo_SD_d_all 23 22 Stereo_SD_d_all_22
Stereo_SD_d_all 24 23 Stereo_SD_d_all_23
Stereo_SD_d_all 25 24 Stereo_SD_d_all_24
Stereo_SD_d_all 26 25 Stereo_SD_d_all_25
Stereo_SD_d_all 27 26 Stereo_SD_d_all_26
Stereo_SD_d_all 30 27 Stereo_SD_d_all_27
Stereo_SD_d_all 33 28 Stereo_SD_d_all_28
Stereo_SD_d_all 36 29 Stereo_SD_d_all_29
Stereo_SD_d_all 39 30 Stereo_SD_d_all_30
Stereo_SD_d_all 49 31 Stereo_SD_d_all_31
Stereo_SD_d_all 50 32 Stereo_SD_d_all_32
Stereo_SD_d_all 51 33 Stereo_SD_d_all_33
Stereo_SD_d_all 52 34 Stereo_SD_d_all_34
Stereo_SD_d_all 53 35 Stereo_SD_d_all_35
